Date,Stock_Name,Close,High,Low,Open,Volume,Prev_Close,Return,Intraday_Return,Gap_Return,Range_Pct,Return_5D,Return_20D,Volatility20,AvgVolume20,VolumeRatio,Peak20,Peak60,Drawdown20,Drawdown60,TR,ATR14,ATR_Pct,VolRank,ATRRank,MoveRank,DrawdownRank,LiquidityRiskRank,RiskScore
2023-12-15,BRPT,1605.9639892578125,1665.813600887387,1526.1645477380882,1595.9890743127378,300825752,1284.6142578125,0.25015270497816333,0.006249989492797869,0.24238779431769752,0.08695652834272886,0.4504504524369304,0.11361724694118447,0.3555788653330273,147865314.65,2.0344578626303282,2690.0,2690.0,-0.40298736458817375,-0.40298736458817375,381.1993430748871,497.8046933417336,0.30997251287794525,0.3793103448275862,0.5172413793103449,0.5862068965517241,0.6551724137931034,0.06896551724137931,41.72413793103448
2022-05-10,CPIN,4746.04833984375,4816.18698526016,4488.873306650246,4591.743319927648,14890000,5901.72509765625,-0.1958201608325426,0.03360488798370653,-0.22196590929808546,0.06896551724137934,-0.10572690791355532,-0.005299898809786985,0.13963112862615318,8894365.0,1.6740936536784807,6617.146484375,6685.130859375,-0.2827651086385128,-0.2900590220776227,1412.8517910060036,811.46876089984,0.17097776988225016,0.034482758620689655,0.1724137931034483,0.4827586206896552,0.3103448275862069,0.8275862068965517,32.931034482758626
2023-10-30,EXCL,1825.5654296875,1896.8070074314023,1816.6602324695125,1878.9966129954269,7205600,2033.0614013671875,-0.10206084850174779,-0.028436018957345932,-0.07577970260423794,0.04390243902439002,-0.3101216720419091,-0.07693232585953591,0.19122607293686136,22176935.0,0.32491415067050516,2890.0,2940.0,-0.36831646031574394,-0.3790593776573129,216.401168897675,305.1341107145079,0.1671449873843967,0.13793103448275862,0.13793103448275862,0.2413793103448276,0.5517241379310345,0.6551724137931034,31.896551724137932
2025-12-01,GGRM,14800.0,15100.0,14775.0,14900.0,1007300,16017.4931640625,-0.07601021905188743,-0.006711409395973145,-0.06976704485629204,0.02195945945945946,-0.02471169686985175,-0.3649329264040936,0.47784687760882827,1114780.0,0.9035863578463912,37410.8203125,38236.92578125,-0.6043925293171156,-0.6129395944467538,1242.4931640625,6987.028944857185,0.47209655032818815,0.5172413793103449,0.7241379310344828,0.20689655172413793,0.896551724137931,1.0,66.55172413793105
2021-08-12,ICBP,7234.91162109375,7369.306264210042,7212.512513907701,7279.709835465847,3115600,7145.31494140625,0.012539220513332117,-0.006153846153846176,0.018808813210009045,0.021671826625386997,-0.032934126265051655,-0.11963334640476275,0.1489946766852974,7763190.0,0.4013298656866572,9889.9375,10243.0166015625,-0.26845729600477763,-0.2936737386533069,223.99132280379217,1193.0461165821068,0.16490127026620763,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.3448275862068966,0.8620689655172413,27.586206896551722
2020-03-09,INCO,2148.134765625,2360.058374789798,2119.236091647982,2360.058374789798,13198500,4236.216796875,-0.4929119852388929,-0.0897959183673469,-0.44288536494855946,0.11210762331838564,-0.6962735171795684,-0.5044444642193961,0.32227831320535244,16640570.0,0.7931519172720646,7072.59619140625,7350.0,-0.6962735171795684,-0.7077367665816326,2116.980705227018,1490.4460404813678,0.6938326516249657,0.3103448275862069,0.9310344827586207,0.8620689655172413,0.9655172413793104,0.6896551724137931,69.13793103448276
2022-10-19,INDF,5555.0390625,5577.348456325301,5465.801487198795,5532.729668674699,12959800,4950.34521484375,0.12215185434806819,0.0040322580645162365,0.11764522039486303,0.020080321285140586,0.03319501057241436,-0.07089551233202795,0.17560464398430942,10954410.0,1.183066910951845,7400.0,7400.0,-0.24931904560810814,-0.24931904560810814,627.0032414815514,1113.6247586860743,0.20047109411052397,0.10344827586206896,0.2413793103448276,0.27586206896551724,0.20689655172413793,0.7241379310344828,29.655172413793107
2024-06-19,INKP,8601.6474609375,8823.466449901505,8453.768134961498,8552.354352278833,4541100,7500.0,0.1468863281249999,0.0057636887608067955,0.14031391363717782,0.04297994269340979,-0.07529645494965043,-0.2867428854155828,0.37964722547527885,9387710.0,0.48372819356371255,11825.0,12059.6728515625,-0.27258795256342494,-0.2867428854155828,1323.4664499015053,1384.4774272847087,0.1609549139943261,0.41379310344827586,0.06896551724137931,0.3793103448275862,0.27586206896551724,0.7931034482758621,39.48275862068966
2025-10-30,INTP,6250.0,6400.0,6250.0,6250.0,877700,8709.0869140625,-0.28235875222370677,0.0,-0.28235875222370677,0.024,-0.28593129565646513,-0.31687828318704037,0.2626168847363295,3982485.0,0.22039003285636982,11887.4560546875,14950.810546875,-0.4742357009567678,-0.5819624641483825,2459.0869140625,804.3810725337624,0.128700971605402,0.20689655172413793,0.034482758620689655,0.6551724137931034,0.8275862068965517,0.9310344827586207,47.758620689655174
2024-02-22,ITMG,19723.783203125,19875.068213311963,19667.05132430489,19837.24696076522,2016900,5564.91015625,2.5443129627120835,-0.0057197330791229906,2.564702107272268,0.010546500479386382,-0.08849562714109604,-0.06911418434800054,1.9302900030506516,2691655.0,0.7493159413074856,21638.71484375,25154.740234375,-0.08849562714109604,-0.21590193262375146,14310.158057061963,8401.827929019824,0.4259744615165236,1.0,0.6896551724137931,1.0,0.10344827586206896,0.9655172413793104,79.65517241379311
2021-02-26,KLBF,1327.0328369140625,1367.6562911053093,1327.0328369140625,1345.0877054435057,133986100,1403.76611328125,-0.05466243674156401,-0.0134228187919464,-0.04180070118702739,0.03061224489795915,-0.06645573071531163,-0.023255937233515933,0.3389811860697134,60280715.0,2.2227025674795,2048.490966796875,2048.490966796875,-0.3521900470036835,-0.3521900470036835,76.7332763671875,395.24740605831215,0.2978429734846931,0.3448275862068966,0.4482758620689655,0.13793103448275862,0.4827586206896552,0.3448275862068966,35.51724137931035
2022-05-17,MAPI,848.9904174804688,893.1575490256955,848.9904174804688,883.342630904534,16356600,1545.8497314453125,-0.4507936960426975,-0.03888888888888886,-0.42857147565136156,0.052023121387283315,-0.3937545098409764,-0.3993055798470032,0.5841730911037073,24231185.0,0.6750227031818709,1942.818115234375,1942.818115234375,-0.5630108599342305,-0.5630108599342305,696.8593139648438,547.1777129685281,0.6445039916850606,0.5862068965517241,0.8620689655172413,0.7931034482758621,0.7931034482758621,0.5517241379310345,69.65517241379311
2023-02-13,MEDC,1089.4405517578125,1147.4845155809746,1089.4405517578125,1138.554674992796,61485800,928.7033081054688,0.1730770658933516,-0.04313725490196085,0.22596168771641256,0.053278688524590154,0.0941702469010024,-0.30608882053642517,0.989212155630486,73918022.4,0.8318106735496213,1820.0,1820.0,-0.40140629024296015,-0.40140629024296015,218.78120747550588,611.2989280104911,0.561112698645337,0.8620689655172413,0.7931034482758621,0.41379310344827586,0.5862068965517241,0.3103448275862069,62.93103448275862
2024-07-18,PGAS,1458.9996337890625,1468.0336872490566,1454.4826070590652,1463.5166605190595,16959100,454.76953125,2.208217643294595,-0.0030864197530864335,2.218150205657736,0.009287925696594469,0.6577778643891692,-0.1263475246772081,0.6245686136015395,81821795.0,0.20726873567122306,1745.0,2290.0,-0.16389705800053722,-0.36288225598730894,1013.2641559990566,368.293091469429,0.25242850165284936,0.6206896551724138,0.3793103448275862,0.9655172413793104,0.5172413793103449,0.27586206896551724,53.96551724137931
2021-08-04,PTBA,1039.1356201171875,1043.733565338945,1025.3417844519151,1034.53767489543,15136800,970.1664428710938,0.07109004620071957,0.004444444444444473,0.06635070971310553,0.0176991150442478,-0.08237389295963393,-0.5563983266888091,0.5740915297830521,29934510.0,0.5056638642155826,2466.720458984375,2750.659423828125,-0.5787379894092126,-0.6222230890834859,73.56712246785128,623.0946573034943,0.5996278495709977,0.5517241379310345,0.8275862068965517,0.1724137931034483,0.9310344827586207,0.5172413793103449,60.0
2021-01-26,SMGR,10153.513671875,10283.133135782864,10067.100695936424,10239.926647813576,3713603,7928.38134765625,0.28065404861946175,-0.008438827631350954,0.2915532438207773,0.021276618796983046,0.6711248165988701,0.6582204349727452,0.6467095143446978,10489456.8,0.354031964743875,10153.513671875,10175.1171875,0.0,-0.002123171185835493,2354.751788126614,1741.768199792269,0.1715433943440611,0.6896551724137931,0.20689655172413793,0.6206896551724138,0.034482758620689655,0.7586206896551724,49.827586206896555
2021-02-26,TLKM,2687.0390625,2702.4375671561606,2625.4450438753584,2656.242053187679,230007700,3407.07763671875,-0.21133612174220862,0.011594202898550732,-0.22037524928671048,0.028653295128939826,-0.18078077362804879,-0.19668335639883072,0.24704416089381456,116010290.0,1.9826491253491394,3550.4013671875,3822.779052734375,-0.24317315576391418,-0.29709799456549746,781.6325928433916,618.6349462537828,0.23022923443405757,0.1724137931034483,0.3448275862068966,0.5172413793103449,0.41379310344827586,0.13793103448275862,28.793103448275865
2022-04-12,UNTR,16598.47265625,17029.023378102636,16509.39319655635,16895.404188562163,5667300,23575.25,-0.29593651578456215,-0.017574692442882123,-0.28334146239967073,0.03130590339892657,0.4815751447920915,0.18809782493586757,0.6457965956517586,4836520.0,1.1717722660094447,30609.162109375,30609.162109375,-0.45772861743359494,-0.45772861743359494,7065.85680344365,7843.729102553249,0.47255728072063097,0.6551724137931034,0.7586206896551724,0.6896551724137931,0.7241379310344828,0.896551724137931,73.9655172413793
2026-05-11,UNVR,1790.0,1810.0,1760.0,1805.0,7513900,3390.4775390625,-0.4720507717933585,-0.008310249307479256,-0.46762661624972746,0.027932960893854747,-0.5765950593132121,-0.5907329467502471,0.8741957944408729,24129125.0,0.311403749617941,6351.27099609375,6411.376953125,-0.7181666471008856,-0.7208088039297817,1630.4775390625,1858.608317379561,1.038328668927129,0.7931034482758621,1.0,0.8275862068965517,1.0,0.5862068965517241,82.93103448275862
